Athlete_ID,Age,Gender,Sport_Type,Exercise_Type,Duration_Minutes,Intensity_Level,Heart_Rate,Calories_Consumed,Protein_g,Carbs_g,Fats_g,Sleep_Hours,Hydration_Level,Fatigue_Score,Injury_History,Recovery_Time_Days,Speed_Score,Endurance_Score,Strength_Score
6103,19,Female,Basketball,Endurance,48,Medium,149,1668,179,329,92,9.7,Moderate,1,Moderate,51,19.47,9.0,6.29
5389,31,Female,Boxing,Cardio,55,Low,89,3961,118,189,61,9.2,High,8,Minor,82,11.94,2.36,4.7
8233,26,Female,Running,Cardio,108,High,72,2760,125,264,63,4.5,Low,2,,0,8.21,3.31,4.49
985,30,Female,Boxing,Endurance,108,Low,83,1764,121,374,22,7.2,High,8,Minor,40,19.35,8.31,9.94
4909,20,Female,Running,Cardio,38,Medium,164,3431,98,364,21,6.7,High,5,Minor,84,8.57,5.86,5.41
5012,32,Female,Boxing,Cardio,101,Low,144,2121,67,413,57,5.8,Moderate,7,,0,12.72,2.73,4.68
4917,21,Female,Basketball,Endurance,31,Low,154,2022,179,368,22,8.3,Low,3,,0,11.91,7.05,3.03
2271,39,Female,Wrestling,Endurance,63,Medium,160,3721,139,395,94,8.1,Moderate,4,Minor,65,10.66,5.57,1.54
4090,28,Female,Football,Endurance,75,Medium,70,3077,137,430,46,4.9,Low,2,,0,6.02,4.86,6.46
4165,37,Male,Running,Endurance,100,Low,134,3719,133,231,64,6.1,High,4,Minor,66,17.82,9.01,3.46
1954,38,Female,Football,Cardio,89,High,136,2469,192,341,80,4.7,Low,5,,0,8.7,2.02,8.45
5307,32,Female,Boxing,Endurance,44,Low,128,2949,187,417,93,8.6,Low,6,,0,7.61,6.77,7.67
7775,32,Female,Tennis,Strength,86,Low,131,1619,67,395,54,6.8,Moderate,4,,0,13.2,9.67,4.97
198,28,Male,Football,Strength,86,Low,97,3262,181,106,68,8.4,High,3,,0,8.42,8.3,4.51
2151,27,Male,Running,Cardio,56,Low,73,3381,154,383,84,8.8,High,7,,0,16.21,1.92,3.81
5249,25,Female,Boxing,Cardio,51,High,140,2331,153,224,46,9.5,Low,4,,0,13.24,3.72,3.76
4433,22,Female,Football,Endurance,76,Low,76,3474,120,228,52,8.6,Moderate,1,,0,16.27,2.85,9.89
1752,38,Male,Wrestling,Endurance,98,Medium,87,3089,185,324,62,5.1,Moderate,2,Minor,66,19.88,2.42,9.43
6169,19,Male,Tennis,Cardio,100,Medium,175,2812,169,363,50,8.0,Moderate,7,,0,5.39,6.29,7.91
4666,34,Female,Basketball,Strength,75,Medium,176,3135,144,308,58,5.8,Moderate,5,Minor,43,10.94,9.41,4.48
8781,38,Male,Running,Strength,30,Low,176,1576,67,273,50,8.5,High,5,,0,15.76,5.92,5.16
1336,24,Female,Football,Strength,33,High,140,1685,111,319,34,5.3,Low,1,,0,11.07,3.89,6.98
5836,29,Female,Running,Cardio,106,Medium,155,3892,171,495,81,8.4,Low,8,Severe,39,12.12,7.68,2.11
4693,28,Female,Running,Strength,58,Medium,85,3795,191,267,28,6.7,Moderate,6,,0,16.01,6.2,5.04
4739,29,Female,Running,Cardio,45,Medium,109,2499,156,168,91,4.4,Low,5,Minor,56,12.65,9.44,7.23
8262,24,Female,Boxing,Strength,71,High,79,1578,120,276,39,9.5,Low,9,Minor,42,11.3,4.53,9.07
1587,33,Female,Running,Cardio,70,High,101,3979,57,361,61,6.6,Low,8,Minor,10,13.21,2.87,4.78
2231,27,Female,Cricket,Endurance,82,Medium,177,3651,109,112,73,8.5,Low,5,,0,12.65,5.68,9.34
3407,28,Male,Volleyball,Strength,75,High,122,1842,115,477,65,9.1,High,6,,0,15.26,9.81,6.98
3224,37,Male,Basketball,Cardio,46,High,146,2067,113,496,36,6.0,Moderate,2,,0,6.09,3.94,3.54
7128,19,Female,Baseball,Cardio,34,Medium,61,1904,165,118,27,8.7,Low,7,Moderate,86,18.42,6.93,4.43
1560,26,Male,Football,Cardio,74,Medium,92,1834,139,495,42,10.0,Moderate,1,,0,13.03,9.63,6.75
8837,38,Female,Running,Endurance,40,Low,63,2555,193,377,72,9.6,Low,4,Minor,72,10.66,1.38,5.19
6332,18,Male,Football,Endurance,35,High,112,3826,164,254,75,9.1,Low,7,Minor,8,7.85,8.43,4.94
9663,30,Female,Basketball,Strength,113,Medium,127,3843,64,439,93,7.2,High,2,Moderate,9,7.86,5.56,5.34
5094,30,Female,Running,Endurance,32,Medium,113,3989,134,484,32,6.4,Moderate,2,Minor,43,6.49,5.96,4.03
5361,32,Male,Football,Cardio,44,Low,140,3723,167,290,51,6.2,Moderate,5,,0,9.9,4.54,1.23
4870,30,Female,Football,Endurance,77,Medium,74,3339,135,288,96,6.0,High,4,,0,6.09,6.37,3.33
3955,23,Male,Baseball,Strength,42,Medium,98,3652,163,425,68,7.1,Low,5,,0,12.98,8.44,7.79
3606,32,Male,Boxing,Cardio,87,Low,74,2648,66,111,98,5.9,Moderate,8,Minor,73,7.09,2.65,9.53
1267,24,Male,Hockey,Cardio,42,Medium,95,2955,107,232,52,8.8,Low,7,,0,16.67,5.05,5.67
645,27,Female,Boxing,Strength,63,High,89,2709,138,208,22,9.5,Low,4,,0,15.2,4.12,8.56
4855,29,Male,Baseball,Cardio,67,High,111,3480,151,136,47,8.4,Low,4,Minor,89,12.52,4.69,4.88
1732,39,Male,Basketball,Strength,80,High,93,2280,192,340,84,5.7,Moderate,6,,0,13.68,8.84,2.29
5107,34,Female,Football,Cardio,50,High,69,2194,141,350,50,6.7,Low,3,Minor,84,14.67,5.57,9.32
6216,24,Female,Running,Strength,65,Medium,142,3781,198,400,40,7.1,Low,6,Minor,73,15.24,2.01,2.43
2093,32,Female,Baseball,Strength,53,Medium,70,1931,76,380,27,4.5,Moderate,1,Severe,83,11.17,2.29,4.15
9023,31,Male,Boxing,Strength,72,Low,129,1778,113,401,77,9.1,Moderate,7,,0,19.92,4.87,3.23
1742,23,Male,Hockey,Cardio,91,Medium,76,1546,187,473,35,6.4,Low,6,Minor,11,6.71,4.56,4.35
2763,33,Female,Hockey,Cardio,76,Low,154,2968,62,302,71,4.7,Low,5,,0,13.25,10.0,7.44
1277,39,Female,Football,Endurance,53,High,82,3422,76,382,38,6.0,High,5,,0,11.7,2.63,8.47
8268,36,Male,Basketball,Endurance,92,Low,165,2176,78,228,28,4.7,Low,9,,0,5.64,2.54,6.75
8075,29,Female,Football,Strength,62,Medium,115,2106,164,333,34,6.7,Moderate,6,,0,13.15,1.44,9.38
369,28,Male,Boxing,Cardio,117,Low,77,1768,111,343,50,4.1,High,4,,0,19.41,9.61,8.08
9578,20,Male,Cricket,Endurance,64,High,129,3441,80,440,55,5.3,High,1,Minor,86,7.83,3.54,2.05
3476,33,Male,Basketball,Cardio,93,Medium,174,1773,181,167,20,8.0,Moderate,4,,0,11.32,2.84,2.61
2989,22,Male,Basketball,Strength,30,High,79,2459,110,272,24,4.6,High,4,,0,19.57,8.35,4.81
3912,26,Male,Boxing,Strength,79,Low,166,1885,117,208,40,9.2,High,4,Moderate,56,12.42,8.27,1.32
895,38,Male,Baseball,Endurance,94,Low,89,1978,115,290,68,4.7,Low,8,,0,12.47,1.07,4.09
3761,39,Male,Basketball,Strength,88,Medium,109,1743,125,461,72,9.4,High,6,,0,18.24,5.69,5.19
9112,36,Male,Running,Strength,103,Medium,82,1956,166,469,41,9.8,Moderate,8,,0,14.45,8.93,2.61
2167,19,Female,Cricket,Strength,117,Medium,114,2484,107,490,82,6.0,Moderate,4,,0,10.25,3.51,4.38
6569,22,Male,Running,Strength,91,Medium,66,3249,109,201,23,5.0,Moderate,9,,0,12.22,1.87,9.37
1849,31,Female,Running,Endurance,55,Low,133,3200,123,185,40,8.7,High,9,,0,6.54,4.4,4.61
7731,34,Female,Volleyball,Strength,76,Low,85,2432,55,250,39,4.2,Low,3,Minor,89,14.34,2.45,2.6
6646,37,Female,Running,Strength,72,High,154,1828,105,430,63,8.2,Moderate,6,,0,13.96,9.81,3.55
3647,36,Male,Hockey,Endurance,99,High,174,2391,123,133,79,6.5,Moderate,8,Minor,23,10.69,6.14,6.61
1278,23,Male,Football,Endurance,80,Medium,111,1583,94,446,58,8.2,Moderate,5,,0,5.1,7.05,3.7
3768,25,Male,Basketball,Cardio,116,Low,126,2616,110,345,67,4.4,Moderate,4,,0,15.79,4.44,5.39
6683,20,Male,Running,Cardio,73,Low,168,2227,137,193,26,8.7,Moderate,9,Severe,44,19.34,2.96,7.46
3649,36,Male,Hockey,Endurance,108,High,79,1816,149,319,83,8.8,Moderate,5,,0,9.47,3.49,5.42
6909,31,Female,Basketball,Cardio,88,Medium,119,1572,105,181,60,6.3,High,4,,0,11.77,2.33,7.67
7386,27,Male,Boxing,Endurance,112,High,95,3305,97,132,94,7.3,Low,7,,0,13.58,8.71,5.66
9836,33,Female,Running,Cardio,118,High,156,3671,194,146,88,7.2,High,9,Minor,22,13.54,1.55,3.12
5444,38,Male,Running,Cardio,105,High,124,3919,77,263,61,6.3,Low,8,,0,6.9,9.28,7.41
7728,25,Male,Basketball,Strength,105,Low,81,3534,172,288,83,5.8,Low,1,,0,7.82,9.24,1.68
5538,20,Female,Basketball,Strength,37,Low,87,3764,106,325,93,8.3,High,1,,0,13.72,9.86,6.5
6701,29,Female,Running,Endurance,102,Medium,113,3480,71,405,80,4.6,Low,8,,0,18.92,6.95,3.98
6523,20,Male,Baseball,Cardio,49,Medium,113,2630,152,148,98,8.5,Moderate,2,Minor,87,10.99,4.03,9.93
2013,39,Male,Football,Strength,117,High,69,3355,169,133,81,8.2,High,3,,0,18.95,1.36,4.66
2441,21,Female,Tennis,Endurance,98,Medium,86,3985,86,342,55,7.8,High,3,Moderate,9,11.65,3.1,5.02
5053,38,Female,Basketball,Cardio,53,Low,97,3558,196,320,91,5.9,Moderate,5,,0,19.82,1.75,9.84
879,18,Male,Basketball,Endurance,67,Low,61,3503,176,346,88,9.3,Moderate,5,Severe,21,11.27,1.4,4.84
9547,25,Female,Basketball,Endurance,45,High,127,2078,188,126,99,6.5,Low,7,,0,10.64,5.75,9.43
4155,19,Female,Boxing,Endurance,61,Medium,69,3999,90,324,69,4.8,High,7,,0,7.0,2.75,7.32
7437,38,Male,Baseball,Cardio,82,Medium,68,3922,96,366,99,5.8,Low,9,,0,10.98,8.87,3.02
177,25,Male,Football,Strength,36,Low,147,2852,53,148,24,5.9,Moderate,1,Severe,61,14.31,6.94,9.35
4365,18,Female,Cricket,Cardio,104,High,171,2811,95,211,28,4.2,Moderate,6,,0,7.45,5.99,5.29
2448,38,Female,Football,Cardio,39,Medium,65,3058,143,400,38,7.0,Low,7,,0,15.76,1.69,8.26
3509,39,Male,Volleyball,Endurance,81,High,99,1924,77,199,45,8.5,Moderate,6,Minor,55,8.12,4.95,7.44
220,32,Female,Running,Endurance,45,Medium,100,2124,199,437,51,9.4,Low,9,Minor,89,8.36,5.53,4.68
1241,30,Female,Boxing,Strength,93,Low,140,1545,180,261,83,6.1,Moderate,5,,0,15.48,9.9,7.59
7582,36,Male,Tennis,Endurance,106,Low,140,2715,117,387,34,7.1,Moderate,2,,0,9.52,3.39,2.38
51,18,Female,Basketball,Endurance,119,Medium,61,3183,121,414,51,7.5,Low,2,,0,5.64,5.17,4.29
2624,18,Female,Boxing,Cardio,91,Medium,91,2525,122,213,31,8.4,Moderate,8,,0,11.22,8.93,6.95
5576,35,Male,Cricket,Strength,87,Low,63,3835,58,299,35,6.8,High,5,,0,19.76,6.86,2.83
8938,27,Male,Running,Cardio,59,Low,106,1661,151,392,33,5.2,Moderate,2,Minor,89,8.56,5.94,2.05
1753,25,Male,Basketball,Endurance,85,Low,87,2259,176,435,96,6.5,Low,9,Minor,58,5.39,7.78,2.69
2204,37,Male,Running,Cardio,67,Medium,83,1721,98,227,76,7.5,High,9,Minor,77,12.71,5.47,3.88
7806,36,Male,Running,Strength,41,Low,83,2639,125,304,22,5.6,Low,7,,0,17.19,1.03,2.8
9895,37,Male,Basketball,Endurance,102,High,111,2627,107,273,28,6.3,Moderate,3,,0,10.21,2.48,4.53
9956,36,Female,Football,Cardio,95,Low,132,2139,120,124,80,9.6,Moderate,1,Severe,75,7.91,8.99,2.67
6264,21,Female,Running,Endurance,71,High,63,3375,161,285,39,7.4,Moderate,1,,0,6.25,8.89,4.51
3171,23,Female,Volleyball,Cardio,30,Low,105,2901,146,288,99,7.1,Low,1,,0,16.52,3.62,7.05
8687,38,Male,Running,Strength,33,Low,98,1607,191,349,22,8.9,Moderate,5,,0,17.63,5.38,3.72
7832,26,Female,Cricket,Strength,81,High,67,2801,192,223,84,8.4,High,2,Moderate,70,8.79,8.49,7.1
8757,32,Male,Running,Endurance,71,High,170,3104,171,471,98,6.7,Low,9,,0,14.37,5.1,2.04
49,35,Male,Running,Strength,119,Low,160,2892,110,473,25,9.0,Low,7,,0,5.37,6.89,5.9
9352,36,Female,Football,Strength,114,Low,154,3589,98,407,67,8.0,Moderate,1,,0,13.23,3.61,8.67
7194,35,Male,Football,Endurance,108,Low,162,1846,165,290,22,7.3,Moderate,3,,0,11.87,4.78,9.54
47,25,Male,Running,Endurance,87,High,94,1948,126,351,24,6.9,Moderate,2,Minor,50,8.88,3.82,3.14
6891,28,Male,Football,Cardio,80,High,170,1586,115,410,54,9.8,High,4,,0,7.53,7.03,7.67
7127,27,Male,Hockey,Endurance,79,Medium,163,2125,187,211,41,6.6,Moderate,8,,0,9.03,4.99,8.06
1233,30,Male,Basketball,Endurance,65,Medium,174,3551,190,476,62,6.0,Moderate,3,Minor,29,17.51,8.77,1.15
3306,35,Male,Basketball,Endurance,39,Medium,156,1596,159,104,89,4.2,Low,9,,0,7.49,9.46,4.49
192,25,Female,Running,Strength,69,High,130,2559,142,311,86,7.4,Low,6,,0,19.51,3.61,9.05
8074,23,Female,Wrestling,Cardio,39,Low,174,3605,132,499,97,8.0,Moderate,9,,0,10.47,4.27,8.11
6561,39,Female,Baseball,Strength,78,High,171,3522,95,185,75,6.0,Low,7,,0,11.36,4.33,2.89
9451,29,Male,Boxing,Cardio,50,High,80,2841,90,195,44,7.8,Low,8,,0,5.97,7.0,6.74
3580,34,Female,Running,Strength,87,Low,66,2143,130,217,99,5.0,Moderate,7,,0,15.25,9.3,6.97
1619,19,Female,Football,Cardio,51,Low,107,3944,103,437,43,9.8,Moderate,2,Minor,89,19.74,7.67,2.4
2653,23,Male,Baseball,Cardio,112,Medium,150,3525,51,224,81,4.2,High,6,Moderate,57,13.85,4.1,6.11
4826,35,Male,Cricket,Strength,74,Medium,86,3689,135,446,85,7.8,Moderate,9,,0,12.53,5.44,2.75
196,20,Female,Cricket,Strength,79,High,133,3656,60,339,20,8.2,Low,9,Severe,8,19.21,1.46,1.36
633,39,Male,Football,Endurance,82,Medium,139,3822,150,406,78,6.4,Moderate,9,Moderate,29,7.15,9.34,4.04
540,32,Male,Football,Endurance,35,Medium,140,2582,168,371,34,9.9,Low,7,Severe,23,15.57,3.69,8.59
4218,28,Female,Football,Endurance,102,Medium,80,2020,175,188,41,7.3,Low,6,,0,17.41,4.74,6.39
715,32,Female,Baseball,Endurance,102,High,107,3703,146,247,75,5.8,Low,5,,0,13.36,1.07,8.89
7403,29,Female,Football,Strength,43,Low,111,1505,111,456,48,5.9,Moderate,5,,0,8.43,1.79,6.02
9742,32,Male,Basketball,Cardio,79,Low,165,1643,133,111,59,5.2,High,6,,0,17.74,5.31,7.66
8775,26,Male,Volleyball,Strength,54,Medium,151,1907,117,156,95,4.1,High,1,,0,7.6,4.64,9.66
5010,33,Male,Running,Endurance,95,High,172,3887,87,456,86,10.0,Moderate,2,Minor,37,8.02,7.77,8.14
9407,27,Male,Football,Strength,49,Medium,93,2148,117,247,79,6.9,Moderate,3,Minor,80,15.86,9.88,1.91
6400,23,Male,Football,Strength,57,High,81,2736,152,228,50,5.5,Low,1,,0,18.65,7.08,5.23
8971,38,Male,Running,Endurance,72,High,71,3280,110,113,57,6.8,Moderate,2,,0,18.4,9.76,5.87
7242,23,Female,Boxing,Endurance,74,Medium,148,3889,159,314,96,7.1,Moderate,2,,0,9.08,2.49,9.04
1064,29,Male,Running,Cardio,110,High,108,2144,194,322,89,5.0,High,2,Minor,22,11.57,8.14,7.98
737,37,Male,Hockey,Cardio,83,High,76,3538,181,403,64,4.1,Moderate,2,Minor,16,14.69,5.73,6.71
4013,25,Male,Football,Endurance,91,Medium,65,1556,151,265,45,5.8,Moderate,9,Severe,41,7.99,1.38,6.69
1200,31,Male,Running,Endurance,86,Low,75,1950,90,242,40,9.9,Moderate,8,Moderate,83,6.39,8.55,2.01
335,36,Female,Volleyball,Strength,66,Low,120,3384,123,226,33,8.4,Moderate,3,Severe,87,15.78,6.21,5.4
4621,18,Male,Football,Endurance,105,Medium,105,2858,75,304,22,7.2,Low,8,,0,15.37,1.41,7.88
6999,28,Female,Football,Endurance,32,Medium,113,3928,98,430,34,9.9,High,6,,0,8.72,1.82,6.74
4711,19,Female,Running,Endurance,70,Medium,90,1816,150,239,85,7.6,High,5,Moderate,8,5.4,8.68,4.83
9814,26,Male,Boxing,Cardio,111,Medium,124,3417,180,184,82,9.3,Low,4,,0,10.93,6.42,2.3
7408,32,Female,Basketball,Endurance,53,Low,105,2055,192,348,87,9.0,Moderate,6,Moderate,83,17.03,2.4,1.11
2066,39,Female,Football,Endurance,119,Medium,153,1501,65,408,95,5.0,Moderate,7,Severe,82,13.67,7.88,8.52
5115,25,Female,Running,Strength,40,Low,73,2187,130,241,48,9.4,Moderate,6,,0,11.67,4.7,1.24
1585,29,Female,Running,Strength,55,Low,148,2920,103,474,31,9.9,Low,6,Severe,40,18.61,8.88,2.54
6422,19,Female,Running,Strength,39,High,127,2876,80,185,40,6.3,Low,9,Minor,18,16.7,8.28,6.81
8575,25,Male,Football,Endurance,32,Medium,140,1996,196,266,62,8.3,High,3,,0,6.67,4.65,9.84
4781,30,Male,Volleyball,Strength,58,High,148,3987,171,342,30,7.5,Moderate,5,,0,11.06,3.3,4.22
448,34,Male,Basketball,Strength,43,High,98,3806,161,390,36,8.7,Low,7,,0,5.54,1.19,3.67
6221,39,Male,Football,Endurance,63,Low,175,3094,166,111,60,9.2,Low,5,Moderate,16,9.11,6.35,4.06
1260,38,Male,Baseball,Strength,109,Low,151,1739,98,229,47,8.8,Moderate,1,Minor,31,13.95,6.09,1.26
847,32,Male,Basketball,Strength,88,High,83,2299,97,250,80,9.7,Moderate,7,,0,19.24,6.32,3.17
3645,38,Female,Boxing,Endurance,69,High,146,2787,92,277,52,7.7,High,3,,0,13.76,9.76,1.34
888,34,Female,Football,Endurance,39,High,163,2530,175,342,98,8.1,Low,4,,0,9.89,5.44,1.63
6413,25,Male,Volleyball,Cardio,38,Low,127,2612,155,270,65,7.7,High,1,,0,5.24,9.83,8.21
556,19,Male,Football,Cardio,50,High,95,3253,66,354,74,6.2,Moderate,9,Severe,63,11.28,6.79,4.01
5241,39,Female,Running,Endurance,103,Low,63,3165,100,161,41,9.4,Low,1,,0,7.15,9.27,9.32
3235,29,Female,Boxing,Cardio,47,High,171,2493,180,298,58,6.0,Low,8,,0,6.71,5.42,1.41
8811,35,Male,Hockey,Endurance,33,Low,73,2364,158,302,58,7.1,High,7,Moderate,57,17.15,3.98,5.93
2796,31,Female,Wrestling,Endurance,47,Low,91,3815,97,171,97,6.7,Low,5,,0,5.9,6.56,8.99
8550,28,Male,Basketball,Endurance,55,High,178,3582,138,276,96,7.0,High,1,,0,11.29,6.51,2.07
5890,39,Female,Boxing,Endurance,108,Low,121,3048,152,366,32,7.9,Low,8,,0,7.74,9.93,4.37
8411,19,Male,Tennis,Strength,115,High,76,3777,121,379,76,9.9,Moderate,2,Moderate,60,16.57,7.1,7.01
2584,31,Female,Cricket,Cardio,117,Low,138,3205,81,322,47,6.1,Moderate,7,Minor,8,7.92,6.43,2.91
8994,34,Male,Boxing,Endurance,45,Low,70,1875,138,389,89,8.3,High,3,Severe,29,11.07,6.92,8.91
4409,34,Female,Running,Endurance,30,Low,136,3809,194,476,28,9.6,Moderate,4,Severe,51,8.96,7.71,8.75
6256,20,Male,Boxing,Cardio,43,Low,138,3868,139,155,28,7.4,Moderate,5,Minor,57,17.32,7.51,3.55
6205,20,Female,Tennis,Cardio,113,Medium,72,3268,176,376,82,4.3,High,8,,0,6.31,3.1,2.18
6323,20,Female,Boxing,Endurance,44,High,131,2044,103,438,82,5.8,Low,7,,0,15.25,5.37,1.17
2044,35,Female,Running,Cardio,38,High,92,1749,160,308,61,9.1,Low,3,,0,6.51,5.8,3.88
1593,18,Female,Baseball,Cardio,34,High,163,1621,195,219,43,9.3,Low,5,,0,6.08,9.99,2.88
6882,37,Male,Basketball,Strength,86,Medium,77,3202,52,189,78,7.3,High,9,,0,12.42,6.52,8.25
1626,20,Female,Boxing,Strength,45,Low,151,1995,83,316,63,6.0,High,6,,0,9.48,4.75,2.15
2490,21,Female,Hockey,Cardio,109,High,143,2883,110,383,82,9.2,Moderate,4,,0,10.86,2.94,2.91
5605,25,Male,Football,Endurance,55,Low,127,3424,92,302,98,9.4,Low,5,,0,16.53,8.9,4.8
8874,19,Female,Running,Endurance,107,Medium,75,3542,130,390,97,6.2,High,7,,0,7.35,1.6,2.0
1569,32,Male,Football,Strength,74,High,85,2421,89,238,88,4.3,Moderate,7,,0,15.94,2.32,7.3
725,21,Female,Football,Strength,68,High,75,2393,139,344,79,4.5,Low,7,,0,16.39,3.0,4.47
9467,28,Female,Running,Cardio,61,Low,144,2829,115,348,56,8.4,Moderate,6,,0,19.5,4.04,8.8
9982,37,Male,Cricket,Strength,116,Low,89,1961,146,370,61,9.3,Moderate,5,,0,13.92,8.2,7.46
